[Sat 24 Feb 2018 07:08:59] Language cookie already exists, continue... | ::1
[Sat 24 Feb 2018 07:08:59] User not logged in | ::1
[Sat 24 Feb 2018 07:08:59] Connected to database successfully | ::1
[Sat 24 Feb 2018 07:09:25] Language cookie already exists, continue... | ::1
[Sat 24 Feb 2018 07:09:25] User not logged in | ::1
[Sat 24 Feb 2018 07:09:25] Connected to database successfully | ::1
[Sat 24 Feb 2018 07:09:28] Leaving website to external site: http://github.com/whenstudios | ::1
[Sat 24 Feb 2018 07:09:28] Language cookie already exists, continue... | ::1
[Sat 24 Feb 2018 07:09:28] User not logged in | ::1
[Sat 24 Feb 2018 07:09:28] Connected to database successfully | ::1
